"","Carrier_Company_Name","Uniquely_Identified_Carrier","Source_Port","Destination_Port","Distance (Nautical_Miles)","Ship_Length (ft)","Ship_Beam (ft)","Ship_Draft (ft)","Storage_Capacity (#Conatiners)","Is_Shared"
"4374","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","17323.0770205613","1076.62536907592","133.121804560471","43.5864885592548","15617","0"
"4375","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","18264.5216266997","982.472251452273","120.980724481669","48.0116312737464","14267","0"
"4376","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","19721.5430566203","1077.07533140667","128.694753017143","45.4560388013339","15752","0"
"4377","Maersk","MAE-U123453","Bremerhaven","Qingdao","26047.443404384","1070.86192885181","136.277702142067","43.6080777499824","15910","0"
"4378","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","25333.520479314","1068.89481833205","133.233265974187","46.2182146589003","16455","0"
"4379","CMA CGM","CMA-U123453","Tokyo","Busan","24585.1221706811","1149.37986321282","138.728671191895","44.8968151462656","17897","0"
"4380","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","25870.0419717282","1009.80944626615","134.679804186455","45.0205610421981","6803","0"
"4381","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","17981.2688646466","1088.87018349255","119.666924966075","43.6626201648459","14223","0"
"4382","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","23594.1673995741","1027.98874139204","128.916442690421","43.2785537568098","14339","0"
"4383","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","21549.8369992431","1047.57064242731","133.102246896466","44.7417713741966","15596","0"
"4384","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","15370.9277687967","1049.66896196944","132.576911714492","46.5272871461067","16187","0"
"4385","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","20972.1798928455","978.41908755363","136.278075895241","43.9499964617308","14650","0"
"4386","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","18103.9861468691","1134.94418226648","141.433539010228","42.5773375528196","17086","0"
"4387","Maersk","MAE-U123453","Bremerhaven","Qingdao","23236.2824045308","1074.04002805008","137.130828699847","45.2035447864525","16644","0"
"4388","COSCO","COS-U123453","Shanghai","Rotterdam","21754.8856788408","1000.80167020787","132.051810761988","44.3006217562118","14637","0"
"4389","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","23501.2785074115","1116.48258920293","125.792016579118","42.9349639837788","15075","0"
"4390","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","25578.1314008217","1132.65093943686","136.946319504094","41.7749822363388","7200","0"
"4391","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","22715.0341583323","982.748810695484","130.515404567531","46.8009664843842","15007","0"
"4392","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","19811.843217602","1090.11777297477","132.099882125719","45.4000533095132","16345","0"
"4393","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","24505.5283804145","1139.16014139773","135.490937028028","43.6056960569965","16826","0"
"4394","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","15141.9612280838","1051.90498812823","126.836222483889","45.1245363167889","15051","0"
"4395","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","17665.7773707993","1097.1274514345","129.62332186116","43.737360469771","15550","0"
"4396","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","16291.1730685271","1121.94911673083","132.492563679622","43.0856833968904","16012","0"
"4397","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","26717.6792205591","994.620532441186","123.292993999302","43.6847112638648","13393","0"
"4398","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","20466.9426865876","1083.64652541699","121.981472395134","46.2639206933779","15288","0"
"4399","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","17496.7679040413","1100.51663110033","133.68168157751","43.9941168538551","16181","0"
"4400","CMA CGM","CMA-U123453","Tokyo","Busan","18744.8373406939","1196.0922194249","131.172029760787","41.4138965130642","7220","0"
"4401","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","22364.5916900598","1171.02530144621","135.141803188463","44.0705154203836","17436","0"
"4402","COSCO","COS-U123453","Shanghai","Rotterdam","26222.6623966545","1173.19312904612","140.220735850416","45.0082801292982","18510","0"
"4403","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","22579.9077302311","1129.18556513265","135.252933272567","43.2659318448893","16520","0"
"4404","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","18523.6269943323","1111.6960745072","140.94533385377","45.0564957841979","17650","0"
"4405","CMA CGM","CMA-U123453","Tokyo","Busan","19352.3682968225","1182.18228831189","139.974704804698","43.9107205006973","18165","0"
"4406","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","26724.6440487541","1083.83292265353","120.457937131028","44.2746921008363","14451","0"
"4407","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","23275.4127366934","1108.91605701414","146.63205071244","45.884323141351","18652","0"
"4408","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","15672.5292379037","1108.2936189638","136.7571734555","44.2751806487782","16777","0"
"4409","CMA CGM","CMA-U123453","Tokyo","Busan","19202.1727664396","1129.27153994911","132.32824430909","43.7702555665292","16352","0"
"4410","COSCO","COS-U123453","Shanghai","Rotterdam","16867.7689578384","974.268989493139","131.375009013442","44.3583767524661","6308","0"
"4411","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","21910.3419041354","1106.84760792297","137.84128408946","44.9774322915554","17155","0"
"4412","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","15579.719437547","1128.36906550452","137.056766753916","44.6461007732206","17261","0"
"4413","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","23721.1195232905","1091.49383336655","137.025932449307","43.8197175816497","16385","0"
"4414","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","18877.3705455847","1131.40621741419","139.762795947974","43.512237794499","17201","0"
"4415","CMA CGM","CMA-U123453","Tokyo","Busan","18936.0092061013","994.240250575822","135.829561101732","42.1622319146835","14235","0"
"4416","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","21998.6611934938","1083.78871227847","124.097879857915","45.7946018869792","15398","0"
"4417","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","15481.6719030775","1010.57347325026","133.590670691748","45.8518405250704","15475","0"
"4418","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","16621.4434198011","1069.10245458712","144.19540165532","43.5140955596482","16770","0"
"4419","CMA CGM","CMA-U123453","Tokyo","Busan","17845.0369325839","1050.1666554343","120.319112778649","44.9385749613584","14196","0"
"4420","CMA CGM","CMA-U123453","Tokyo","Busan","22281.126658218","1026.18020220078","127.980922268721","44.1630151212892","6444","0"
"4421","CMA CGM","CMA-U123453","Tokyo","Busan","16999.8018214479","1129.07315061777","134.184008514643","41.5539324715033","15739","0"
"4422","Maersk","MAE-U123453","Bremerhaven","Qingdao","23195.3449322004","1022.85565743805","128.434093520954","43.0830069162745","14149","0"
"4423","CMA CGM","CMA-U123453","Tokyo","Busan","16933.6246280931","1078.82149789482","132.54721510375","45.1706506546202","16148","0"
"4424","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","18226.3415856007","981.333503965288","137.712031814587","45.9261947718398","15516","0"
"4425","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","23644.2881431058","1018.4693080571","138.247030678072","44.1063185372675","15525","0"
"4426","CMA CGM","CMA-U123453","Tokyo","Busan","16846.0122635867","1180.2797409636","121.245451929328","42.8866161201992","15343","0"
"4427","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","23720.4243983142","1129.14252341958","127.960197362284","46.1914582070397","16685","0"
"4428","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","21100.9146995097","1119.06988257659","139.765998381961","46.0002785445015","17987","0"
"4429","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","24314.0964170918","1127.76869704947","125.249584889821","44.5593308522549","15735","0"
"4430","COSCO","COS-U123453","Shanghai","Rotterdam","24399.0136025939","1040.99357255152","137.687366673288","47.8180883656121","7615","0"
"4431","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","16450.4015032947","1168.44167327974","128.759241481322","42.494690672445","15983","0"
"4432","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","16440.8651043568","1111.710217949","132.108259322565","43.6722858033795","16035","0"
"4433","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","22612.1218803339","1190.33121293294","135.286367849233","42.905463458119","17273","0"
"4434","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","24631.4497493114","1071.72081552562","145.936264669012","45.1060978996655","17637","0"
"4435","Maersk","MAE-U123453","Bremerhaven","Qingdao","16715.6361539662","1005.84731111769","134.845976848623","45.3993946327122","15394","0"
"4436","CMA CGM","CMA-U123453","Tokyo","Busan","19272.3019085359","1094.11807328928","135.335935144504","45.2784968731983","16761","0"
"4437","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","24036.4749119617","984.932905070018","126.417353935121","44.5612600740674","13871","0"
"4438","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","25510.8791740704","1166.2994786026","134.507704446366","44.5496066213386","17472","0"
"4439","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","25429.548860332","1154.78428554023","123.742297461846","45.0673780513662","16100","0"
"4440","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","16097.8107301891","1107.50629949966","134.277492932441","45.7384287220687","7558","0"
"4441","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","15484.4506742153","1138.1304439879","131.131897978095","44.9171777654366","16759","0"
"4442","CMA CGM","CMA-U123453","Tokyo","Busan","25162.7696485352","1144.10257143667","131.946451539884","45.3735839623978","17124","0"
"4443","COSCO","COS-U123453","Shanghai","Rotterdam","23427.5304408185","1084.07539131702","133.253047482942","47.3334635345626","17094","0"
"4444","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","19629.2515684292","1131.16692885291","137.935786189287","45.0151550981442","17559","0"
"4445","CMA CGM","CMA-U123453","Tokyo","Busan","18078.7845638394","1051.88875533175","137.042374992139","44.690587049132","16106","0"
"4446","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","22822.8319444321","1092.29570789495","130.090463340142","42.8386937925153","15218","0"
"4447","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","18556.3462903071","1013.89205378247","126.014778665437","45.4914619159637","14531","0"
"4448","COSCO","COS-U123453","Shanghai","Rotterdam","17623.2528068963","1144.94215704966","125.275411587342","43.8701417458087","15731","0"
"4449","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","21003.6422641855","1042.08906034008","128.403016730848","45.7273341785299","15297","0"
"4450","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","16975.2548106574","1192.38426708151","140.094304425484","42.675886755839","7921","0"
"4451","COSCO","COS-U123453","Shanghai","Rotterdam","18126.8079666048","1077.85546194995","130.596921269972","43.3135038964203","15243","0"
"4452","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","22018.3934456483","1094.22323043458","124.854508941897","46.0015031082535","15712","0"
"4453","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","17599.5717675705","1108.30999560654","142.420056846647","45.4561544805868","17938","0"
"4454","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","23196.6823676135","988.648089887574","132.900905982208","44.778001998353","14709","0"
"4455","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","23285.1116840355","1096.60493570729","132.224865075326","43.8516935642808","15896","0"
"4456","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","19890.3426841926","971.340578136733","137.738073261037","44.094046296576","14748","0"
"4457","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","17363.6353230011","1185.63188067288","129.250622822374","43.8383071251288","16795","0"
"4458","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","20867.2023876663","1072.46113413945","133.20305790049","42.5255467649239","15187","0"
"4459","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","24463.5639261268","1108.03926391527","141.332640134615","47.1320491106454","18452","0"
"4460","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","15589.7259063553","1022.29293271317","130.439656256905","44.1482342490949","6541","0"
"4461","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","20524.3368557654","1002.3070801259","119.184161540311","42.669339244429","12743","0"
"4462","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","21687.9923110362","971.203503316501","142.605509610343","44.2438199722051","15319","0"
"4463","COSCO","COS-U123453","Shanghai","Rotterdam","21537.8234368656","1037.26408611052","122.685944218693","44.1541688392494","14047","0"
"4464","Maersk","MAE-U123453","Bremerhaven","Qingdao","20839.4451025967","971.627459621523","131.981809040914","43.5620118015599","13966","0"
"4465","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","21302.9562806524","1148.12820685911","145.272792152232","43.3725262228267","18085","0"
"4466","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","21261.2643852364","1167.22999940277","127.780051877882","43.5422651657244","16236","0"
"4467","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","25223.3637830056","1141.77552894806","125.918434845015","45.4544108659699","16338","0"
"4468","Maersk","MAE-U123453","Bremerhaven","Qingdao","18632.4526807107","1068.70875409222","131.483312533407","44.4836740687202","15627","0"
"4469","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","16309.9348929338","1096.5134490456","139.299853319395","43.0354044806645","16434","0"
"4470","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","25199.9692903552","1049.42152751843","120.327004027447","44.8907133713742","6298","0"
"4471","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","26327.8912922926","1103.49227360333","131.835740310002","44.6926303819162","16255","0"
"4472","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","23598.5496703628","1027.58523100871","137.43619395497","44.5657368967005","15735","0"
"4473","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","15834.7902711388","1140.01237070886","124.60188935331","44.3027054189953","15733","0"
"4474","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","18878.5058894567","1133.18956857198","140.356827244476","43.5650583787371","17323","0"
"4475","CMA CGM","CMA-U123453","Tokyo","Busan","26266.9451724552","1040.8391850756","137.500053331525","44.3641968398065","15873","0"
"4476","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","17403.8682188373","1022.71880350308","128.612812749735","46.0136386800125","15131","0"
"4477","Maersk","MAE-U123453","Bremerhaven","Qingdao","17362.1133022383","1031.30334210466","139.141484464883","43.3320093666874","15545","0"
"4478","Maersk","MAE-U123453","Bremerhaven","Qingdao","23133.8668028265","997.159255896695","140.173389256437","43.2567360750199","15116","0"
"4479","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","21400.1739292592","1112.13385652285","136.97282953405","45.6238266187176","17375","0"
"4480","COSCO","COS-U123453","Shanghai","Rotterdam","20267.3938471545","1167.31616780162","140.601954148853","43.4164100079477","7918","0"
"4481","COSCO","COS-U123453","Shanghai","Rotterdam","15267.1740595344","1117.72411137121","130.842919391912","43.7517679326752","15996","0"
"4482","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","21458.4448186867","1174.50924269739","137.354015513558","44.1017367720778","17787","0"
"4483","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","20965.5093728006","1129.08865805482","125.401616357949","44.541610252688","15767","0"
"4484","CMA CGM","CMA-U123453","Tokyo","Busan","17610.0603771955","1003.24063543114","136.919858782003","45.6982540776178","15693","0"
"4485","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","15414.9497413449","1189.95100093889","135.81994396688","44.393687446224","17937","0"
"4486","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","18595.4141932167","1079.59876283887","129.227136880179","42.6714013618765","14883","0"
"4487","COSCO","COS-U123453","Shanghai","Rotterdam","15949.766337052","1071.29672691924","143.645241714558","43.4739993484788","16725","0"
"4488","CMA CGM","CMA-U123453","Tokyo","Busan","24060.9462635871","1072.09335469757","139.054263218787","42.6146886034165","15882","0"
"4489","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","16653.6246597022","1112.93368481216","125.12627670738","47.2030857877416","16433","0"
"4490","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","22326.6277034115","1038.27234884026","132.328040820657","45.3789579057159","6927","0"
"4491","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","17921.4303537179","996.779946703464","126.931204190439","46.6805263903643","14765","0"
"4492","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","26661.5177843347","1040.32200993504","138.354041504011","44.5013140969981","16013","0"
"4493","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","22030.9120515548","1182.72316005896","139.495826482426","43.6477470612318","18003","0"
"4494","Maersk","MAE-U123453","Bremerhaven","Qingdao","17170.067258561","984.852617461002","133.711743693605","43.4360809823778","14300","0"
"4495","COSCO","COS-U123453","Shanghai","Rotterdam","16173.4295970853","1105.33700153814","139.116470085226","43.5037122955815","16724","0"
"4496","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","26743.8966080267","1099.12469886825","134.365150677012","45.2415244656277","16704","0"
"4497","COSCO","COS-U123453","Shanghai","Rotterdam","18430.0156847946","1026.61532544065","133.129341420796","43.2309528841686","14771","0"
"4498","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","18424.3927923404","1070.68981693359","145.466606137602","45.0372587497081","17536","0"
"4499","COSCO","COS-U123453","Shanghai","Rotterdam","23708.9407018013","1185.03263760009","145.959875286939","43.415840165997","18774","0"
"4500","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","18462.1019973792","985.605676564155","136.505526987928","44.701068910659","6682","0"
"4501","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","16395.9905506857","969.706706501311","131.336802824701","44.6000731998819","14200","0"
"4502","CMA CGM","CMA-U123453","Tokyo","Busan","25571.7581790034","1138.61224410939","129.445186225727","43.2595897162561","15940","0"
"4503","CMA CGM","CMA-U123453","Tokyo","Busan","24800.8982759994","1070.94444692601","127.966826314609","43.9524428486274","15059","0"
"4504","COSCO","COS-U123453","Shanghai","Rotterdam","20548.1684997864","1018.0216487986","127.776065961135","43.2056384167644","14050","0"
"4505","CMA CGM","CMA-U123453","Tokyo","Busan","18014.8557308502","1076.761974002","132.191337795288","45.9544455652922","16353","0"
"4506","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","21314.7153822798","1101.00385322468","138.777047472227","44.6786945094759","17067","0"
"4507","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","26185.4382312298","1018.49906229298","128.946224586681","44.5135479699453","14615","0"
"4508","CMA CGM","CMA-U123453","Tokyo","Busan","15409.2945859395","1128.98490189225","130.78155846106","42.8171718723869","15805","0"
"4509","Maersk","MAE-U123453","Bremerhaven","Qingdao","24903.0520233605","1061.22857053415","136.179674902088","41.9739695690119","15165","0"
"4510","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","22409.8989500944","1061.97445565369","139.381957960354","44.3838743656611","7300","0"
"4511","COSCO","COS-U123453","Shanghai","Rotterdam","19446.1609360948","1013.44032885623","131.364191872328","44.3669200407682","14766","0"
"4512","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","18987.4296232313","1058.78354237415","133.861134246002","46.4102876739751","16444","0"
"4513","COSCO","COS-U123453","Shanghai","Rotterdam","23832.3318410106","1197.69216407905","119.483456115191","43.7884165480554","15666","0"
"4514","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","18339.0848721843","1027.20710016205","132.170074761531","44.2689900399957","15026","0"
"4515","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","15794.8894922901","1018.84510267409","129.079607272113","43.8206139364558","14407","0"
"4516","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","25807.7562091872","1074.23802589416","123.80497256754","43.9824918260925","14624","0"
"4517","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","16081.9854677562","993.557384510059","134.46797702291","43.3270098655149","14471","0"
"4518","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","20654.4155482203","1116.71024361625","139.14935580824","45.061562238448","17505","0"
"4519","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","20464.2107055802","1150.78791744309","135.622325983665","44.9481729229669","17538","0"
"4520","CMA CGM","CMA-U123453","Tokyo","Busan","26177.7735453844","1103.70234282454","137.740310815843","45.9793290428967","7767","0"
"4521","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","18428.9116523601","1042.15507975663","136.611860272511","43.0886821358252","15336","0"
"4522","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","25670.8989169076","1065.9774641518","131.949626701178","44.900985196641","15789","0"
"4523","Maersk","MAE-U123453","Bremerhaven","Qingdao","24195.749276625","972.008714870317","139.205853233425","43.7795717059266","14809","0"
"4524","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","16041.6151750088","1192.45538015501","133.402750553629","44.7498866420103","17797","0"
"4525","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","20254.2512336187","1064.15762216784","139.785430298672","44.747058236424","16641","0"
"4526","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","16174.4688602071","1148.97769307834","131.002462901407","45.3472660835766","17064","0"
"4527","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","15214.1210496705","1040.42342226254","132.261279430163","46.9210654640799","16142","0"
"4528","COSCO","COS-U123453","Shanghai","Rotterdam","19122.6406088099","1056.90774457646","133.524657917205","45.3796761250986","16010","0"
"4529","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","20561.7372586671","1055.9921699448","126.39470616161","46.8460404114018","15632","0"
"4530","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","21575.2640439849","1182.90857712738","137.617525866182","46.4743155497311","8406","0"
"4531","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","18557.3330071941","983.972103345441","125.738777956521","44.5790788420046","13789","0"
"4532","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","20660.9499796852","1135.84605790791","147.223313310177","44.6705658164856","18675","0"
"4533","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","24368.753941739","1145.45129294042","128.443398120587","44.0459765705249","16201","0"
"4534","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","23041.4187546819","1089.93525635917","137.349836057595","43.342757333854","16221","0"
"4535","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","21860.5598303117","1129.94711537845","137.753613083793","47.5197486662102","18492","0"
"4536","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","24507.4864212424","1192.03723427607","145.170395906537","43.3135636749986","18738","0"
"4537","CMA CGM","CMA-U123453","Tokyo","Busan","21540.8454220835","1128.66558233625","130.116924452058","45.2872758666736","16627","0"
"4538","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","19158.9348549675","1153.17799107754","135.061790566573","45.3777122322945","17669","0"
"4539","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","16030.4472703859","1091.24625873519","131.790890219945","44.664623330918","16059","0"
"4540","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","23546.0371396132","979.421885493211","136.937706535162","45.4216068457638","6769","0"
"4541","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","25235.6909825373","1009.5611553581","128.541175709135","42.7628920925856","13873","0"
"4542","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","21494.6626145951","991.732066847617","130.684335592767","45.1694463538088","14635","0"
"4543","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","15849.4158767816","984.952330443775","123.100904900995","43.9111613755023","13310","0"
"4544","Maersk","MAE-U123453","Bremerhaven","Qingdao","26758.4917790629","990.467068958096","122.417636487681","43.4393395210651","13168","0"
"4545","Maersk","MAE-U123453","Bremerhaven","Qingdao","24473.2170735765","1154.63949735393","129.131357085311","44.583016273715","16618","0"
"4546","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","15652.572409166","1095.29765456682","127.707172661549","41.7094445725425","14586","0"
"4547","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","25398.1330578402","1107.62023088406","146.674722051812","44.2592633365722","17976","0"
"4548","CMA CGM","CMA-U123453","Tokyo","Busan","19315.6291820761","1120.55571889738","132.411430853152","45.9810112214122","17056","0"
"4549","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","23263.9450831432","1096.02960952441","127.363331053163","44.1970515924675","15424","0"
"4550","CMA CGM","CMA-U123453","Tokyo","Busan","19619.1165401693","1051.36745264055","141.862402429668","45.8030126019691","7591","0"
"4551","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","16695.6773253903","1031.9635956909","122.228897377267","43.12311418155","13598","0"
"4552","COSCO","COS-U123453","Shanghai","Rotterdam","25165.6173352618","1184.19045886956","142.786077344765","44.8137459153325","18943","0"
"4553","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","21836.5663017333","1165.84324262687","135.051401203464","45.1240086122852","17762","0"
"4554","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","25481.731633516","1089.59133876371","129.341215830592","44.0584953462934","15523","0"
"4555","COSCO","COS-U123453","Shanghai","Rotterdam","25482.9665571637","1046.27555878251","133.205040776184","43.2265779569081","15061","0"
"4556","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","21024.8478052206","972.707257443108","140.036009660754","44.9838118705422","15319","0"
"4557","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","19508.5415346734","1167.76469451492","130.831195068201","43.223888361622","16509","0"
"4558","CMA CGM","CMA-U123453","Tokyo","Busan","19688.7275388278","1120.18464045716","128.829628662659","46.6326878917345","16824","0"
"4559","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","21620.742858611","1031.95247121505","129.466988057355","43.9681367549715","14686","0"
"4560","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","21719.0553702693","1151.51017960277","144.592488284766","43.6105640664549","8068","0"
"4561","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","18637.0187181048","1003.64500932978","134.299368298036","43.7664480109742","14748","0"
"4562","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","20824.2401717417","1132.91279544705","133.723671990823","44.9731700465339","17033","0"
"4563","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","19842.4894004501","1094.17072780663","127.217223289261","44.2363224769275","15394","0"
"4564","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","18532.4955523945","1120.14619361726","150.002175809393","45.4367279240359","19086","0"
"4565","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","15002.6382154226","1154.66532818158","128.093190831384","46.4203384304683","17164","0"
"4566","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","22619.1388564557","1130.75297536212","132.037660398527","45.2004610608952","16871","0"
